Designator,Mid X,Mid Y,Rotation,Layer
C1,98.861395,-126.8,180.0,top
C2,92.65,-111.388606,270.0,top
C3,106.1,-124.7175,180.0,bottom
D1,98.2,-120.3675,0.0,bottom
D3,99.15,-131.8675,180.0,bottom
J1,118.775,-83.235,180.0,top
J10,100.1325,-89.0,270.0,top
J2,110.325,-83.41,180.0,top
J3,157.85,-79.58,0.0,top
J4,166.95,-91.875,90.0,top
J5,137.725,-128.4,0.0,top
J6,110.55,-128.0,0.0,top
J7,167.2675,-72.2,90.0,top
J8,100.1,-97.1175,270.0,top
J9,100.1325,-80.9,270.0,top
JP1,100.2,-104.6725,180.0,top
JP2,104.0,-104.6725,180.0,top
L1,100.2,-113.1175,90.0,bottom
U1,106.05,-120.8675,90.0,bottom
U2,138.88,-70.57,180.0,top
U3,129.025,-115.9825,270.0,top
U4,146.375,-115.9825,270.0,top
